Degrees		Distance (m)
0		2.50
2		2.50
4		2.50
6		2.50
8		2.50
10		2.50
12		2.50
14		0.54
16		0.54
18		0.54
20		0.54
22		0.54
24		0.54
26		0.54
28		0.54
30		0.54
32		0.54
34		0.54
36		0.54
38		0.54
40		2.50
42		2.50
44		2.50
46		2.50
48		2.50
50		2.50
52		2.50
54		2.50
56		2.50
58		0.53
60		0.53
62		0.53
64		0.53
66		0.53
68		0.53
70		0.53
72		0.53
74		0.53
76		0.53
78		0.53
80		0.53
82		0.53
84		0.53
86		0.53
88		0.53
90		0.53
92		2.50
94		2.50
96		2.50
98		2.50
100		2.50
102		2.50
104		2.50
106		2.50
108		2.50
110		2.50
112		2.50
114		2.50
116		2.50
118		2.50
120		2.50
122		2.50
124		2.50
126		2.50
128		2.50
130		2.50
132		2.50
134		2.50
136		0.50
138		0.50
140		0.50
142		0.50
144		0.50
146		0.50
148		0.50
150		0.50
152		0.50
154		2.50
156		2.50
158		2.50
160		2.50
162		2.50
164		2.50
166		2.50
168		2.50
170		2.50
172		2.50
174		2.50
176		2.50
178		2.50
180		2.50
