Degrees         Distance (m)
0               0.52
2               0.55
4               0.51
6               1.98
8               1.98
10              1.98
12              0.54
14              0.53
16              0.53
18              0.53
20              0.53
22              0.52
24              0.52
26              0.52
28              0.51
30              0.52
32              0.51
34              0.51
36              0.51
38              0.51
40              0.51
42              0.52
44              0.51
46              0.51
48              0.52
50              0.50
52              0.50
54              0.51
56              0.50
58              0.50
60              0.50
62              0.67
64              0.58
66              0.38
68              0.51
70              0.59
72              0.52
74              0.52
76              0.55
78              0.55
80              0.39
82              0.42
84              0.42
86              0.37
88              0.35
90              0.58
92              0.56
94              0.49
96              0.56
98              0.56
100             0.56
102             0.56
104             0.57
106             0.54
108             0.58
110             0.54
112             0.54
114             0.53
116             0.55
118             0.54
120             0.54
122             0.52
124             0.54
126             0.52
128             0.52
130             0.53
132             0.52
134             0.52
136             0.52
138             0.52
140             0.52
142             0.52
144             0.52
146             0.52
148             0.52
150             0.52
152             0.52
154             0.52
156             0.52
158             0.52
160             0.53
162             0.53
164             0.53
166             0.53
168             0.54
170             1.46
172             2.47
174             3.13
176             3.13
178             3.13
180             2.13
