Degrees		Distance (m)
0		1.41
2		0.62
4		0.59
6		1.47
8		1.43
10		1.48
12		1.90
14		1.09
16		1.47
18		1.41
20		0.59
22		0.59
24		0.59
26		0.59
28		0.59
30		0.59
32		0.59
34		0.58
36		0.58
38		0.58
40		0.59
42		0.60
44		0.60
46		0.59
48		0.59
50		0.58
52		0.59
54		0.59
56		0.58
58		0.58
60		0.58
62		0.59
64		0.59
66		0.59
68		0.60
70		0.59
72		0.60
74		0.60
76		0.61
78		0.62
80		1.78
82		0.62
84		1.19
86		1.30
88		1.44
90		1.32
92		0.63
94		0.61
96		0.66
98		0.74
100		0.76
102		1.06
104		0.60
106		0.78
108		0.60
110		0.61
112		0.73
114		0.55
116		0.63
118		0.45
120		0.48
122		0.62
124		0.48
126		0.36
128		0.62
130		0.63
132		0.74
134		0.60
136		0.61
138		0.60
140		0.85
142		0.61
144		0.61
146		0.60
148		0.68
150		0.79
152		0.87
154		1.18
156		1.29
158		1.37
160		1.41
162		1.40
164		1.62
166		1.06
168		1.21
170		1.55
172		1.24
174		3.13
176		1.65
178		1.55
180		1.45
