
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 0.00 PING: 0.00 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 775.67 PING: 36.33 cm
Angle: 2 IR: 825.00 PING: 55.00 cm
Angle: 4 IR: 837.67 PING: 59.33 cm
Angle: 6 IR: 583.67 PING: 54.33 cm
Angle: 8 IR: 580.33 PING: 45.33 cm
Angle: 10 IR: 587.00 PING: 50.00 cm
Angle: 12 IR: 613.00 PING: 88.67 cm
Angle: 14 IR: 631.33 PING: 62.33 cm
Angle: 16 IR: 664.00 PING: 53.00 cm
Angle: 18 IR: 716.33 PING: 58.67 cm
Angle: 20 IR: 764.00 PING: 73.33 cm
Angle: 22 IR: 785.33 PING: 59.33 cm
Angle: 24 IR: 835.67 PING: 47.33 cm
Angle: 26 IR: 878.33 PING: 49.67 cm
Angle: 28 IR: 915.67 PING: 67.67 cm
Angle: 30 IR: 880.33 PING: 95.33 cm
Angle: 32 IR: 795.00 PING: 77.67 cm
Angle: 34 IR: 658.33 PING: 146.67 cm
Angle: 36 IR: 1019.33 PING: 103.67 cm
Angle: 38 IR: 1074.33 PING: 91.33 cm
Angle: 40 IR: 1077.33 PING: 111.00 cm
Angle: 42 IR: 1135.67 PING: 173.67 cm
Angle: 44 IR: 1102.33 PING: 116.00 cm
Angle: 46 IR: 1139.00 PING: 29.33 cm
Angle: 48 IR: 1159.00 PING: 68.33 cm
Angle: 50 IR: 1181.00 PING: 47.67 cm
Angle: 52 IR: 1225.67 PING: 34.00 cm
Angle: 54 IR: 1233.00 PING: 34.33 cm
Angle: 56 IR: 1240.33 PING: 32.33 cm
Angle: 58 IR: 1222.33 PING: 32.33 cm
Angle: 60 IR: 1246.33 PING: 30.00 cm
Angle: 62 IR: 1270.00 PING: 29.67 cm
Angle: 64 IR: 1258.00 PING: 29.33 cm
Angle: 66 IR: 1273.00 PING: 29.33 cm
Angle: 68 IR: 1306.33 PING: 29.00 cm
Angle: 70 IR: 1273.67 PING: 29.00 cm
Angle: 72 IR: 1246.67 PING: 30.33 cm
Angle: 74 IR: 1245.67 PING: 30.67 cm
Angle: 76 IR: 1240.33 PING: 31.33 cm
Angle: 78 IR: 1247.67 PING: 31.67 cm
Angle: 80 IR: 1257.00 PING: 31.00 cm
Angle: 82 IR: 1263.00 PING: 31.00 cm
Angle: 84 IR: 1269.67 PING: 32.00 cm
Angle: 86 IR: 1258.33 PING: 31.00 cm
Angle: 88 IR: 1271.00 PING: 30.67 cm
Angle: 90 IR: 1231.00 PING: 30.67 cm
Angle: 92 IR: 1228.33 PING: 32.00 cm
Angle: 94 IR: 1196.33 PING: 32.00 cm
Angle: 96 IR: 1183.67 PING: 31.67 cm
Angle: 98 IR: 1161.33 PING: 30.00 cm
Angle: 100 IR: 1131.67 PING: 42.00 cm
Angle: 102 IR: 1119.00 PING: 32.33 cm
Angle: 104 IR: 1250.33 PING: 31.67 cm
Angle: 106 IR: 1001.67 PING: 53.33 cm
Angle: 108 IR: 959.67 PING: 70.00 cm
Angle: 110 IR: 945.00 PING: 36.67 cm
Angle: 112 IR: 897.00 PING: 49.00 cm
Angle: 114 IR: 943.67 PING: 24.67 cm
Angle: 116 IR: 891.00 PING: 19.00 cm
Angle: 118 IR: 860.00 PING: 22.00 cm
Angle: 120 IR: 865.00 PING: 68.33 cm
Angle: 122 IR: 1368.33 PING: 96.33 cm
Angle: 124 IR: 1903.00 PING: 79.33 cm
Angle: 126 IR: 1961.67 PING: 65.00 cm
Angle: 128 IR: 1857.67 PING: 55.33 cm
Angle: 130 IR: 1760.33 PING: 75.33 cm
Angle: 132 IR: 1590.00 PING: 80.33 cm
Angle: 134 IR: 1373.67 PING: 97.00 cm
Angle: 136 IR: 1257.00 PING: 96.00 cm
Angle: 138 IR: 794.67 PING: 97.67 cm
Angle: 140 IR: 524.33 PING: 93.67 cm
Angle: 142 IR: 727.67 PING: 135.67 cm
Angle: 144 IR: 813.67 PING: 88.00 cm
Angle: 146 IR: 831.00 PING: 94.67 cm
Angle: 148 IR: 610.33 PING: 64.67 cm

Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 1003.00 PING: 74.00 cm
Angle: 2 IR: 809.00 PING: 37.33 cm
Angle: 4 IR: 840.67 PING: 38.00 cm
Angle: 6 IR: 785.67 PING: 55.67 cm
Angle: 8 IR: 577.67 PING: 50.67 cm
Angle: 10 IR: 586.33 PING: 81.33 cm
Angle: 12 IR: 613.33 PING: 54.33 cm
Angle: 14 IR: 631.33 PING: 77.67 cm
Angle: 16 IR: 668.33 PING: 33.67 cm
Angle: 18 IR: 707.67 PING: 35.33 cm
Angle: 20 IR: 761.67 PING: 52.33 cm
Angle: 22 IR: 790.33 PING: 59.33 cm
Angle: 24 IR: 831.67 PING: 72.00 cm
Angle: 26 IR: 897.00 PING: 87.33 cm
Angle: 28 IR: 937.00 PING: 111.33 cm
Angle: 30 IR: 885.67 PING: 132.67 cm
Angle: 32 IR: 791.00 PING: 129.33 cm
Angle: 34 IR: 744.33 PING: 71.00 cm
Angle: 36 IR: 1022.67 PING: 104.67 cm
Angle: 38 IR: 1054.67 PING: 53.33 cm
Angle: 40 IR: 1081.67 PING: 70.67 cm
Angle: 42 IR: 1120.33 PING: 97.00 cm
Angle: 44 IR: 1102.33 PING: 28.00 cm
Angle: 46 IR: 1165.00 PING: 75.33 cm
Angle: 48 IR: 1157.67 PING: 67.33 cm
Angle: 50 IR: 1202.33 PING: 30.33 cm
Angle: 52 IR: 1205.33 PING: 33.33 cm
Angle: 54 IR: 1199.00 PING: 33.67 cm
Angle: 56 IR: 1239.00 PING: 32.00 cm
Angle: 58 IR: 1223.67 PING: 31.33 cm
Angle: 60 IR: 1246.00 PING: 30.67 cm
Angle: 62 IR: 1269.00 PING: 29.67 cm
Angle: 64 IR: 1268.33 PING: 28.67 cm
Angle: 66 IR: 1290.00 PING: 29.33 cm
Angle: 68 IR: 1275.67 PING: 29.00 cm
Angle: 70 IR: 1271.67 PING: 28.67 cm
Angle: 72 IR: 1240.33 PING: 29.67 cm
Angle: 74 IR: 1240.33 PING: 29.00 cm
Angle: 76 IR: 1240.33 PING: 30.00 cm
Angle: 78 IR: 1244.00 PING: 30.00 cm
Angle: 80 IR: 1245.00 PING: 30.67 cm
Angle: 82 IR: 1271.00 PING: 30.33 cm
Angle: 84 IR: 1273.67 PING: 32.00 cm
Angle: 86 IR: 1242.00 PING: 30.33 cm
Angle: 88 IR: 1243.67 PING: 30.33 cm
Angle: 90 IR: 1216.33 PING: 31.33 cm
Angle: 92 IR: 1224.33 PING: 32.00 cm
Angle: 94 IR: 1202.33 PING: 32.00 cm
Angle: 96 IR: 1183.00 PING: 31.67 cm
Angle: 98 IR: 1178.33 PING: 40.33 cm
Angle: 100 IR: 1145.33 PING: 39.00 cm
Angle: 102 IR: 2855.67 PING: 41.00 cm
Angle: 104 IR: 3488.33 PING: 30.00 cm
Angle: 106 IR: 2990.33 PING: 31.67 cm
Angle: 108 IR: 3003.33 PING: 50.33 cm
Angle: 110 IR: 2331.33 PING: 41.67 cm
Angle: 112 IR: 2355.67 PING: 46.33 cm
Angle: 114 IR: 2541.33 PING: 46.33 cm
Angle: 116 IR: 2495.67 PING: 65.00 cm
Angle: 118 IR: 2369.33 PING: 20.00 cm
Angle: 120 IR: 1390.33 PING: 4.67 cm
Angle: 122 IR: 1284.00 PING: 4.00 cm
Angle: 124 IR: 2690.33 PING: 22.33 cm
Angle: 126 IR: 1950.67 PING: 27.00 cm
Angle: 128 IR: 1840.33 PING: 52.33 cm
Angle: 130 IR: 1733.67 PING: 43.00 cm
Angle: 132 IR: 1579.67 PING: 68.33 cm
Angle: 134 IR: 1416.33 PING: 66.33 cm
Angle: 136 IR: 1230.33 PING: 83.00 cm
Angle: 138 IR: 669.67 PING: 85.33 cm
Angle: 140 IR: 537.67 PING: 133.00 cm
Angle: 142 IR: 568.33 PING: 132.00 cm
Angle: 144 IR: 805.00 PING: 135.67 cm
Angle: 146 IR: 856.33 PING: 110.00 cm
Angle: 148 IR: 578.33 PING: 95.33 cm
Angle: 150 IR: 515.00 PING: 91.00 cm
Angle: 152 IR: 562.00 PING: 89.33 cm
Angle: 154 IR: 815.00 PING: 51.67 cm
Angle: 156 IR: 769.67 PING: 63.00 cm
Angle: 158 IR: 741.67 PING: 77.33 cm
Angle: 160 IR: 745.67 PING: 105.67 cm
Angle: 162 IR: 733.00 PING: 88.67 cm
Angle: 164 IR: 741.67 PING: 100.33 cm
Angle: 166 IR: 731.33 PING: 85.67 cm
Angle: 168 IR: 733.67 PING: 110.33 cm
Angle: 170 IR: 733.00 PING: 112.33 cm
Angle: 172 IR: 757.67 PING: 90.00 cm
Angle: 174 IR: 756.33 PING: 65.33 cm
Angle: 176 IR: 799.00 PING: 80.33 cm
Angle: 178 IR: 873.67 PING: 127.33 cm
Angle: 180 IR: 893.67 PING: 120.67 cm
m
Angle  	PING Distance (cm)  	IR Distance (cm)
---------------------------------------------------
Angle: 0 IR: 1004.00 PING: 51.67 cm
Angle: 2 IR: 801.33 PING: 51.33 cm
Angle: 4 IR: 819.00 PING: 58.33 cm
Angle: 6 IR: 645.00 PING: 64.33 cm
Angle: 8 IR: 565.67 PING: 55.67 cm
Angle: 10 IR: 582.33 PING: 81.33 cm
Angle: 12 IR: 612.67 PING: 103.00 cm
Angle: 14 IR: 640.00 PING: 64.33 cm
Angle: 16 IR: 679.33 PING: 66.33 cm
Angle: 18 IR: 711.00 PING: 50.00 cm
Angle: 20 IR: 749.67 PING: 63.00 cm
Angle: 22 IR: 791.00 PING: 70.33 cm
Angle: 24 IR: 816.33 PING: 127.00 cm
Angle: 26 IR: 879.00 PING: 300.00 cm
Angle: 28 IR: 907.00 PING: 76.33 cm
Angle: 30 IR: 865.67 PING: 107.33 cm
Angle: 32 IR: 787.67 PING: 159.33 cm
Angle: 34 IR: 675.00 PING: 95.33 cm
Angle: 36 IR: 1020.33 PING: 88.33 cm
Angle: 38 IR: 1054.33 PING: 87.67 cm
Angle: 40 IR: 1084.33 PING: 137.00 cm
Angle: 42 IR: 1106.33 PING: 155.00 cm
Angle: 44 IR: 1101.67 PING: 153.00 cm
Angle: 46 IR: 1137.00 PING: 30.00 cm
Angle: 48 IR: 1164.00 PING: 30.33 cm
Angle: 50 IR: 1192.33 PING: 33.00 cm
Angle: 52 IR: 1222.33 PING: 32.33 cm
Angle: 54 IR: 1225.67 PING: 33.67 cm
Angle: 56 IR: 1260.33 PING: 32.67 cm
Angle: 58 IR: 1226.33 PING: 31.67 cm
Angle: 60 IR: 1259.67 PING: 31.33 cm
Angle: 62 IR: 1257.67 PING: 29.00 cm
Angle: 64 IR: 1271.00 PING: 27.00 cm
Angle: 66 IR: 1283.00 PING: 29.33 cm
Angle: 68 IR: 1290.33 PING: 27.33 cm
Angle: 70 IR: 1260.33 PING: 29.00 cm
Angle: 72 IR: 1241.33 PING: 29.00 cm
Angle: 74 IR: 1244.00 PING: 30.67 cm
Angle: 76 IR: 1265.00 PING: 30.00 cm
Angle: 78 IR: 1247.33 PING: 30.67 cm
Angle: 80 IR: 1233.33 PING: 30.33 cm
Angle: 82 IR: 1252.33 PING: 31.00 cm
Angle: 84 IR: 1269.00 PING: 31.00 cm
